Internship_ID,Company,Required_Field,Required_Skills,Location,Role
5959,Mcdaniel-Perry,Computer Science,Python,Abuja,Software Engineering Intern
5960,"Banks, Robles and Delgado",Pharmacy,"Drug Design, Clinical Pharmacy",Benin City,Design Intern
5961,Berry Ltd,Pharmacy,"Drug Design, Chemistry, Pharmacology",Lagos,Design Intern
5962,Hale LLC,Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Kano,Mechanical Engineering Intern
5963,Evans Ltd,Medical Laboratory Science,"Pathology, Biochemistry, Microscopy",Lagos,Administrative Intern
5964,"Young, Turner and Dean",Mechanical Engineering,"CAD, SolidWorks, Finite Element Analysis",Kaduna,Mechanical Engineering Intern
5965,Garcia-Greer,Mechanical Engineering,"SolidWorks, Finite Element Analysis, CAD",Ibadan,Mechanical Engineering Intern
5966,Gardner LLC,Business Administration,"Management, Marketing",Port Harcourt,Business Intern
5967,Mendoza-Robinson,Mechanical Engineering,"SolidWorks, MATLAB, CAD",Onitsha,Mechanical Engineering Intern
5968,Brooks Inc,Petroleum Engineering,Geophysics,Enugu,Petroleum Engineering Intern
5969,Mcintyre-Vance,Architecture,Building Design,Kano,Design Intern
5970,Winters Ltd,Electrical Engineering,C++,Aba,Electrical Engineering Intern
5971,Oneal LLC,Computer Science,Python,Kano,Software Engineering Intern
5972,Jones-Young,Nursing Science,Patient Care,Aba,Nursing Intern
5973,"Coleman, Green and Wells",Medical Laboratory Science,Pathology,Aba,Administrative Intern
5974,"Brown, Grant and Weaver",Nursing Science,"Pharmacology, Clinical Practice",Kano,Nursing Intern
5975,"Martin, Rojas and Wiley",Computer Science,ML,Lagos,Software Engineering Intern
5976,Manning LLC,Medical Laboratory Science,Biochemistry,Ibadan,Administrative Intern
5977,"Rodriguez, Jacobs and Martin",Architecture,"AutoCAD, Sustainable Architecture, Urban Planning",Kaduna,Administrative Intern
5978,Stephenson Inc,Business Administration,"Human Resources, Finance",Ibadan,HR Intern
5979,Benitez-Thompson,Civil Engineering,"Structural Analysis, AutoCAD, Surveying",Aba,Civil Engineering Intern
5980,Morris-West,Pharmacy,"Drug Design, Pharmacology",Abuja,Design Intern
5981,Jordan-Anderson,Nursing Science,"Pharmacology, Patient Care, Anatomy",Aba,Nursing Intern
5982,Keller-Gray,Architecture,"Sustainable Architecture, Urban Planning",Lagos,Administrative Intern
5983,"Mclaughlin, Dickerson and Yates",Medical Laboratory Science,Biochemistry,Enugu,Administrative Intern
5984,"Patrick, Lambert and Brown",Mechanical Engineering,CAD,Benin City,Mechanical Engineering Intern
5985,"Johnson, Erickson and Ferguson",Medical Laboratory Science,"Biochemistry, Lab Techniques",Enugu,Administrative Intern
5986,Collins-Ponce,Business Administration,"Finance, Management",Lagos,Finance Intern
5987,Flores LLC,Business Administration,"Management, Marketing",Aba,Business Intern
5988,Padilla PLC,Computer Science,"ML, Python, C++",Kano,Software Engineering Intern
5989,Myers-Hayes,Computer Science,Python,Enugu,Software Engineering Intern
5990,"Castaneda, Rosales and Lewis",Architecture,"Building Design, Urban Planning",Lagos,Design Intern
5991,Wright Group,Medical Laboratory Science,"Pathology, Microscopy, Lab Techniques",Ibadan,Administrative Intern
5992,Gordon-Holloway,Business Administration,"Human Resources, Management",Port Harcourt,HR Intern
5993,Fletcher-Alvarado,Nursing Science,"Pharmacology, Patient Care, Anatomy",Aba,Nursing Intern
5994,Shea Inc,Civil Engineering,Structural Analysis,Benin City,Civil Engineering Intern
5995,Smith-Castillo,Computer Science,"ML, C++, Java",Onitsha,Software Engineering Intern
5996,Diaz-Welch,Business Administration,"Management, Marketing, Project Management",Enugu,Project Management Intern
5997,"Patterson, Jones and Blake",Architecture,AutoCAD,Lagos,Administrative Intern
5998,Lane-Huffman,Architecture,AutoCAD,Lagos,Administrative Intern
5999,"Sanchez, Green and Barron",Medical Laboratory Science,"Pathology, Lab Techniques",Ibadan,Administrative Intern
6000,Nicholson PLC,Civil Engineering,Construction Management,Port Harcourt,Civil Engineering Intern
6001,Foster-Perkins,Computer Science,C++,Onitsha,Software Engineering Intern
6002,"Wilson, Cervantes and Thomas",Nursing Science,Anatomy,Aba,Nursing Intern
6003,Reid LLC,Civil Engineering,"AutoCAD, Construction Management, Structural Analysis",Ibadan,Civil Engineering Intern
6004,Paul-Wells,Medical Laboratory Science,Pathology,Kano,Administrative Intern
6005,Hoffman PLC,Architecture,Urban Planning,Kano,Administrative Intern
6006,Cole and Sons,Architecture,Sustainable Architecture,Enugu,Administrative Intern
6007,"Carroll, Smith and Patterson",Architecture,"AutoCAD, Urban Planning",Abuja,Administrative Intern
6008,Moreno-Vasquez,Petroleum Engineering,"Oil Field Operations, Reservoir Engineering",Benin City,Petroleum Engineering Intern
6009,Mccullough-Lawrence,Petroleum Engineering,"Geophysics, Oil Field Operations",Ibadan,Petroleum Engineering Intern
6010,"Walton, Douglas and Franco",Electrical Engineering,"Power Systems, C++, Embedded Systems",Ibadan,Electrical Engineering Intern
6011,Hess-Glenn,Architecture,AutoCAD,Benin City,Administrative Intern
6012,Steele and Sons,Nursing Science,"Pharmacology, Patient Care, Clinical Practice",Benin City,Nursing Intern
6013,Ramos PLC,Mechanical Engineering,"MATLAB, Finite Element Analysis",Aba,Mechanical Engineering Intern
6014,"Watson, Middleton and Schultz",Medical Laboratory Science,Biochemistry,Ibadan,Administrative Intern
6015,Olson Inc,Computer Science,"ML, SQL, Python",Abuja,Software Engineering Intern
6016,Caldwell-Miller,Pharmacy,"Chemistry, Pharmacology",Abuja,Administrative Intern
6017,Shaw-Fernandez,Computer Science,"C++, Python, Java",Benin City,Software Engineering Intern
6018,"Nichols, Murray and Higgins",Business Administration,Management,Ibadan,Business Intern
6019,Simmons-Gaines,Architecture,"Building Design, Sustainable Architecture, AutoCAD",Port Harcourt,Design Intern
6020,Lee-Smith,Pharmacy,"Chemistry, Pharmacology",Kano,Administrative Intern
6021,"Cox, Williams and Fuller",Pharmacy,"Chemistry, Clinical Pharmacy, Pharmacology",Port Harcourt,Administrative Intern
6022,Berry PLC,Pharmacy,"Pharmacology, Clinical Pharmacy",Kano,Administrative Intern
6023,"Maldonado, Sparks and Thompson",Medical Laboratory Science,Biochemistry,Kaduna,Administrative Intern
6024,Hubbard and Sons,Architecture,AutoCAD,Abuja,Administrative Intern
6025,Phillips Ltd,Mechanical Engineering,"SolidWorks, Finite Element Analysis",Port Harcourt,Mechanical Engineering Intern
6026,Ross and Sons,Pharmacy,"Clinical Pharmacy, Drug Design, Chemistry",Port Harcourt,Design Intern
6027,Spencer-Watkins,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Geophysics",Aba,Petroleum Engineering Intern
6028,Serrano-Powell,Architecture,"Urban Planning, AutoCAD",Kano,Administrative Intern
6029,Rose-Robertson,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Geophysics",Onitsha,Petroleum Engineering Intern
6030,Richards-Silva,Architecture,"Urban Planning, Building Design, AutoCAD",Lagos,Design Intern
6031,Espinoza PLC,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Drilling",Kaduna,Petroleum Engineering Intern
6032,Wade PLC,Petroleum Engineering,Reservoir Engineering,Aba,Petroleum Engineering Intern
6033,"Barrett, Shaffer and Parker",Electrical Engineering,Power Systems,Kano,Electrical Engineering Intern
6034,Joyce Group,Nursing Science,"Patient Care, Pharmacology, Clinical Practice",Kaduna,Nursing Intern
6035,White-Moore,Civil Engineering,"Structural Analysis, Construction Management",Port Harcourt,Civil Engineering Intern
6036,"Taylor, Love and Owen",Business Administration,"Management, Project Management",Onitsha,Project Management Intern
6037,"Norman, Mcguire and Lewis",Mechanical Engineering,SolidWorks,Kano,Mechanical Engineering Intern
6038,Jackson Inc,Pharmacy,"Clinical Pharmacy, Chemistry",Lagos,Administrative Intern
6039,Daniel LLC,Medical Laboratory Science,Pathology,Ibadan,Administrative Intern
6040,"Delgado, Turner and Owens",Architecture,"Sustainable Architecture, AutoCAD",Kaduna,Administrative Intern
6041,Myers-Harrison,Computer Science,ML,Port Harcourt,Software Engineering Intern
6042,Holland PLC,Computer Science,"C++, SQL",Enugu,Software Engineering Intern
6043,Salas-Salazar,Civil Engineering,Surveying,Kano,Civil Engineering Intern
6044,Brown Group,Medical Laboratory Science,Pathology,Ibadan,Administrative Intern
6045,Williams LLC,Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Aba,Design Intern
6046,"Eaton, Smith and Oliver",Nursing Science,"Clinical Practice, Anatomy, Patient Care",Enugu,Nursing Intern
6047,Crosby-Wilson,Pharmacy,"Pharmacology, Drug Design",Aba,Design Intern
6048,"Wilson, Jones and Nelson",Petroleum Engineering,"Geophysics, Drilling, Reservoir Engineering",Ibadan,Petroleum Engineering Intern
6049,"Melendez, Espinoza and Fuentes",Civil Engineering,Construction Management,Kaduna,Civil Engineering Intern
6050,Buchanan-Williams,Petroleum Engineering,"Geophysics, Oil Field Operations",Abuja,Petroleum Engineering Intern
6051,"Parsons, Castro and Gutierrez",Pharmacy,Drug Design,Benin City,Design Intern
6052,Murphy-Sanchez,Medical Laboratory Science,"Biochemistry, Microscopy, Pathology",Kano,Administrative Intern
6053,White PLC,Pharmacy,"Drug Design, Pharmacology, Chemistry",Benin City,Design Intern
6054,"Wright, Mccoy and Ramirez",Mechanical Engineering,"MATLAB, SolidWorks, Finite Element Analysis",Enugu,Mechanical Engineering Intern
6055,Perez-Peterson,Architecture,"Urban Planning, Building Design, Sustainable Architecture",Kaduna,Design Intern
6056,Edwards-Skinner,Electrical Engineering,"Embedded Systems, Circuit Design, C++",Abuja,Electrical Engineering Intern
6057,"Hodges, Bell and Ortiz",Nursing Science,"Pharmacology, Clinical Practice, Anatomy",Enugu,Nursing Intern
6058,"Simmons, Diaz and Baird",Medical Laboratory Science,"Biochemistry, Microscopy",Ibadan,Administrative Intern
6059,"Guerra, Mercado and Martinez",Architecture,"Building Design, Sustainable Architecture, Urban Planning",Kaduna,Design Intern
6060,Campbell-Walker,Architecture,"Building Design, Urban Planning, AutoCAD",Benin City,Design Intern
6061,Taylor-Martin,Electrical Engineering,"Power Systems, Embedded Systems",Benin City,Electrical Engineering Intern
6062,Mckenzie LLC,Architecture,"AutoCAD, Sustainable Architecture",Lagos,Administrative Intern
6063,"Mann, Brewer and Little",Architecture,"Building Design, Sustainable Architecture, AutoCAD",Ibadan,Design Intern
6064,Holmes-Robinson,Nursing Science,"Anatomy, Patient Care, Pharmacology",Abuja,Nursing Intern
6065,"Jones, Kim and Chambers",Pharmacy,"Chemistry, Drug Design",Ibadan,Design Intern
6066,"Howard, Crawford and Lloyd",Architecture,Sustainable Architecture,Benin City,Administrative Intern
6067,"Martin, Shepherd and Hodge",Civil Engineering,"AutoCAD, Structural Analysis",Enugu,Civil Engineering Intern
6068,Johnson LLC,Business Administration,Marketing,Aba,Business Intern
6069,Hart-Hodges,Civil Engineering,"Construction Management, Structural Analysis",Ibadan,Civil Engineering Intern
6070,Callahan-Johnson,Civil Engineering,Surveying,Kaduna,Civil Engineering Intern
6071,"Foster, Reyes and Phillips",Medical Laboratory Science,"Lab Techniques, Microscopy, Pathology",Aba,Administrative Intern
6072,Jensen PLC,Computer Science,"Python, SQL, ML",Kano,Software Engineering Intern
6073,"Santiago, Mckee and Leach",Pharmacy,"Drug Design, Clinical Pharmacy, Chemistry",Port Harcourt,Design Intern
6074,Richardson-Murray,Architecture,"Urban Planning, Building Design, AutoCAD",Kaduna,Design Intern
6075,"Navarro, Peters and Lynch",Nursing Science,Anatomy,Onitsha,Nursing Intern
6076,Larson PLC,Nursing Science,"Pharmacology, Anatomy",Benin City,Nursing Intern
6077,Ward PLC,Computer Science,"SQL, ML, Java",Benin City,Software Engineering Intern
6078,"Nichols, Bowman and Fernandez",Medical Laboratory Science,"Biochemistry, Microscopy, Lab Techniques",Abuja,Administrative Intern
6079,Bridges-Cox,Medical Laboratory Science,Pathology,Onitsha,Administrative Intern
6080,Mooney-Mendez,Mechanical Engineering,"SolidWorks, CAD, MATLAB",Enugu,Mechanical Engineering Intern
6081,Castro Inc,Computer Science,"C++, SQL, ML",Kaduna,Software Engineering Intern
6082,"Parrish, Rasmussen and Kelly",Civil Engineering,AutoCAD,Aba,Civil Engineering Intern
6083,Riddle-Suarez,Pharmacy,"Chemistry, Pharmacology",Kano,Administrative Intern
6084,Brennan and Sons,Business Administration,"Marketing, Finance",Port Harcourt,Finance Intern
6085,Ward PLC,Civil Engineering,"Surveying, Structural Analysis",Port Harcourt,Civil Engineering Intern
6086,"Munoz, Lopez and Wolf",Nursing Science,"Patient Care, Clinical Practice, Anatomy",Kano,Nursing Intern
6087,"Morales, Myers and Wiggins",Civil Engineering,"Surveying, AutoCAD",Aba,Civil Engineering Intern
6088,Wilkerson LLC,Business Administration,"Project Management, Finance, Management",Aba,Finance Intern
6089,"Williams, Reese and Velasquez",Nursing Science,"Pharmacology, Anatomy",Abuja,Nursing Intern
6090,"Lee, Sanchez and Anderson",Electrical Engineering,"Circuit Design, Power Systems",Lagos,Electrical Engineering Intern
6091,Brown-Walker,Architecture,"Sustainable Architecture, Urban Planning",Kano,Administrative Intern
6092,Oneal and Sons,Petroleum Engineering,Geophysics,Onitsha,Petroleum Engineering Intern
6093,Parsons-Koch,Architecture,"Urban Planning, AutoCAD, Building Design",Aba,Design Intern
6094,Perez-Wilson,Petroleum Engineering,Geophysics,Ibadan,Petroleum Engineering Intern
6095,Welch-Johnson,Civil Engineering,Construction Management,Enugu,Civil Engineering Intern
6096,Mccall-Garcia,Computer Science,Java,Port Harcourt,Software Engineering Intern
6097,Hill-Jacobson,Nursing Science,Clinical Practice,Aba,Nursing Intern
6098,"Payne, Williams and Garrison",Medical Laboratory Science,Biochemistry,Enugu,Administrative Intern
6099,"Castro, Hogan and Carson",Electrical Engineering,"Power Systems, Signal Processing, Embedded Systems",Abuja,Electrical Engineering Intern
6100,Palmer Group,Petroleum Engineering,"Oil Field Operations, Drilling",Onitsha,Petroleum Engineering Intern
6101,"Gould, Cox and Barton",Business Administration,"Marketing, Management",Abuja,Business Intern
6102,Baker PLC,Computer Science,SQL,Benin City,Software Engineering Intern
6103,Miller-Martin,Computer Science,Python,Ibadan,Software Engineering Intern
6104,"Thompson, Acevedo and Davies",Pharmacy,"Pharmacology, Clinical Pharmacy, Chemistry",Lagos,Administrative Intern
6105,Smith and Sons,Architecture,Urban Planning,Enugu,Administrative Intern
6106,"Thompson, Ibarra and Baird",Computer Science,"ML, SQL",Kaduna,Software Engineering Intern
6107,Boyer-Wilson,Medical Laboratory Science,Biochemistry,Kaduna,Administrative Intern
6108,"Harris, Chen and Yoder",Petroleum Engineering,"Geophysics, Oil Field Operations, Drilling",Lagos,Petroleum Engineering Intern
6109,Sanford PLC,Mechanical Engineering,SolidWorks,Enugu,Mechanical Engineering Intern
6110,Hendrix and Sons,Electrical Engineering,"Power Systems, C++, Circuit Design",Abuja,Electrical Engineering Intern
6111,Hurst-Beasley,Electrical Engineering,"Embedded Systems, Power Systems",Ibadan,Electrical Engineering Intern
6112,Brown-Rodriguez,Pharmacy,"Drug Design, Pharmacology",Kaduna,Design Intern
6113,Campbell-Mckay,Petroleum Engineering,"Geophysics, Reservoir Engineering, Drilling",Port Harcourt,Petroleum Engineering Intern
6114,Barr-Blake,Mechanical Engineering,"MATLAB, SolidWorks, Finite Element Analysis",Benin City,Mechanical Engineering Intern
6115,Trevino-Wright,Mechanical Engineering,"CAD, Finite Element Analysis, MATLAB",Benin City,Mechanical Engineering Intern
6116,Johnson-Armstrong,Pharmacy,Drug Design,Ibadan,Design Intern
6117,Banks-Robles,Petroleum Engineering,"Geophysics, Drilling, Reservoir Engineering",Lagos,Petroleum Engineering Intern
6118,Bass Group,Civil Engineering,Surveying,Abuja,Civil Engineering Intern
6119,Krause-Williams,Architecture,"Urban Planning, Building Design, AutoCAD",Port Harcourt,Design Intern
6120,"Martinez, Reynolds and Morton",Mechanical Engineering,"MATLAB, Finite Element Analysis",Enugu,Mechanical Engineering Intern
6121,"Burke, Bradshaw and Martinez",Electrical Engineering,"Signal Processing, C++",Abuja,Electrical Engineering Intern
6122,Gordon PLC,Medical Laboratory Science,"Pathology, Lab Techniques, Microscopy",Abuja,Administrative Intern
6123,Walters Ltd,Pharmacy,Drug Design,Kaduna,Design Intern
6124,"Reilly, Rivas and Vance",Petroleum Engineering,Reservoir Engineering,Kaduna,Petroleum Engineering Intern
6125,Tapia-Roach,Electrical Engineering,"Signal Processing, Embedded Systems, C++",Enugu,Electrical Engineering Intern
6126,Butler and Sons,Nursing Science,Anatomy,Abuja,Nursing Intern
6127,Franco Ltd,Business Administration,Marketing,Port Harcourt,Business Intern
6128,Sanchez-Lucas,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Port Harcourt,Petroleum Engineering Intern
6129,"Bautista, White and Rice",Architecture,"AutoCAD, Urban Planning, Building Design",Onitsha,Design Intern
6130,"Cantu, Kelly and Smith",Petroleum Engineering,"Reservoir Engineering, Geophysics, Oil Field Operations",Port Harcourt,Petroleum Engineering Intern
6131,Oneill Inc,Medical Laboratory Science,"Lab Techniques, Pathology, Microscopy",Kaduna,Administrative Intern
6132,"Ramirez, Fitzgerald and Cummings",Mechanical Engineering,Finite Element Analysis,Kano,Mechanical Engineering Intern
6133,Perez PLC,Business Administration,"Management, Human Resources",Lagos,HR Intern
6134,Williams LLC,Business Administration,"Marketing, Management, Human Resources",Abuja,HR Intern
6135,Gonzales and Sons,Nursing Science,"Pharmacology, Patient Care",Lagos,Nursing Intern
6136,Harmon-Yates,Mechanical Engineering,"SolidWorks, MATLAB, CAD",Ibadan,Mechanical Engineering Intern
6137,Mayer LLC,Civil Engineering,AutoCAD,Onitsha,Civil Engineering Intern
6138,Dennis-Jones,Computer Science,SQL,Onitsha,Software Engineering Intern
6139,"Ramirez, Jacobs and Burns",Nursing Science,"Patient Care, Clinical Practice",Kaduna,Nursing Intern
6140,Baker-Santana,Nursing Science,Clinical Practice,Kaduna,Nursing Intern
6141,Berry LLC,Pharmacy,"Pharmacology, Clinical Pharmacy, Chemistry",Aba,Administrative Intern
6142,Moore Ltd,Nursing Science,"Clinical Practice, Anatomy",Aba,Nursing Intern
6143,Johnson Ltd,Electrical Engineering,"Signal Processing, Power Systems",Lagos,Electrical Engineering Intern
6144,"Flowers, Jones and Sanchez",Pharmacy,"Drug Design, Clinical Pharmacy",Lagos,Design Intern
6145,"Ward, Jackson and Li",Mechanical Engineering,"Finite Element Analysis, SolidWorks, MATLAB",Lagos,Mechanical Engineering Intern
6146,Stephenson Group,Pharmacy,Drug Design,Enugu,Design Intern
6147,James-Anderson,Civil Engineering,"AutoCAD, Structural Analysis",Enugu,Civil Engineering Intern
6148,"Rodriguez, Brown and Simmons",Electrical Engineering,"Power Systems, Signal Processing",Kano,Electrical Engineering Intern
6149,Johnson and Sons,Architecture,"Urban Planning, AutoCAD",Benin City,Administrative Intern
6150,"Hurley, Diaz and Webster",Nursing Science,"Clinical Practice, Pharmacology",Onitsha,Nursing Intern
6151,"Patrick, Brown and Chandler",Civil Engineering,Structural Analysis,Kano,Civil Engineering Intern
6152,Wood-Stuart,Business Administration,"Project Management, Management, Finance",Abuja,Finance Intern
6153,Calderon-Mueller,Electrical Engineering,"C++, Circuit Design, Embedded Systems",Lagos,Electrical Engineering Intern
6154,Curtis-Sullivan,Pharmacy,"Clinical Pharmacy, Drug Design",Aba,Design Intern
6155,Khan-Hunter,Nursing Science,"Pharmacology, Anatomy",Port Harcourt,Nursing Intern
6156,Martin-Brooks,Business Administration,Management,Kano,Business Intern
6157,Nelson Ltd,Architecture,"AutoCAD, Sustainable Architecture",Aba,Administrative Intern
6158,Gaines-Green,Nursing Science,"Anatomy, Clinical Practice",Benin City,Nursing Intern
6159,Roth Ltd,Medical Laboratory Science,Lab Techniques,Lagos,Administrative Intern
6160,Brown Inc,Petroleum Engineering,"Geophysics, Oil Field Operations",Kano,Petroleum Engineering Intern
6161,"Strickland, Cline and Murphy",Electrical Engineering,"C++, Circuit Design",Onitsha,Electrical Engineering Intern
6162,Allen-Kim,Business Administration,Finance,Ibadan,Finance Intern
6163,Ball-Klein,Mechanical Engineering,"MATLAB, Finite Element Analysis, CAD",Abuja,Mechanical Engineering Intern
6164,Sanchez PLC,Architecture,"AutoCAD, Sustainable Architecture",Ibadan,Administrative Intern
6165,Diaz PLC,Nursing Science,"Patient Care, Clinical Practice, Anatomy",Kaduna,Nursing Intern
6166,Ramirez-Rodriguez,Architecture,"Urban Planning, Building Design",Abuja,Design Intern
6167,Hamilton Inc,Architecture,"Building Design, AutoCAD",Kano,Design Intern
6168,Wade-Simpson,Medical Laboratory Science,"Microscopy, Biochemistry, Pathology",Kano,Administrative Intern
6169,Griffin and Sons,Nursing Science,"Anatomy, Patient Care, Pharmacology",Benin City,Nursing Intern
6170,Robinson Group,Petroleum Engineering,"Geophysics, Drilling, Reservoir Engineering",Ibadan,Petroleum Engineering Intern
6171,Ferguson PLC,Nursing Science,"Clinical Practice, Anatomy, Pharmacology",Abuja,Nursing Intern
6172,"Bartlett, Phillips and Rhodes",Petroleum Engineering,"Drilling, Geophysics",Ibadan,Petroleum Engineering Intern
6173,Schmidt and Sons,Petroleum Engineering,"Drilling, Oil Field Operations, Geophysics",Ibadan,Petroleum Engineering Intern
6174,Lawson and Sons,Nursing Science,"Patient Care, Pharmacology, Anatomy",Port Harcourt,Nursing Intern
6175,Morales Group,Electrical Engineering,"Signal Processing, C++, Embedded Systems",Ibadan,Electrical Engineering Intern
6176,Williams LLC,Business Administration,Management,Abuja,Business Intern
6177,Williams-Jones,Computer Science,"C++, Python",Enugu,Software Engineering Intern
6178,Ross Group,Petroleum Engineering,Oil Field Operations,Aba,Petroleum Engineering Intern
6179,Baldwin Inc,Petroleum Engineering,"Oil Field Operations, Drilling",Benin City,Petroleum Engineering Intern
6180,"Gonzalez, Hernandez and Cox",Computer Science,"ML, Java, SQL",Enugu,Software Engineering Intern
6181,Newman-Mullins,Nursing Science,Pharmacology,Benin City,Nursing Intern
6182,"Lee, Morgan and Hall",Medical Laboratory Science,Microscopy,Abuja,Administrative Intern
6183,"Campbell, Gilbert and Singh",Pharmacy,Drug Design,Onitsha,Design Intern
6184,Smith Inc,Medical Laboratory Science,"Microscopy, Lab Techniques, Biochemistry",Aba,Administrative Intern
6185,Robinson-Howell,Business Administration,"Marketing, Project Management",Enugu,Project Management Intern
6186,Powell-Marks,Computer Science,"Java, ML, SQL",Abuja,Software Engineering Intern
6187,"Mason, Larsen and Ellis",Architecture,"Sustainable Architecture, Urban Planning, Building Design",Port Harcourt,Design Intern
6188,"Lucas, Long and Campbell",Computer Science,"C++, SQL",Enugu,Software Engineering Intern
6189,Williams-Griffin,Mechanical Engineering,"MATLAB, SolidWorks, Finite Element Analysis",Lagos,Mechanical Engineering Intern
6190,"Lopez, Rodriguez and Bennett",Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Kano,Mechanical Engineering Intern
6191,Jimenez-Sanchez,Civil Engineering,"Structural Analysis, Surveying, AutoCAD",Abuja,Civil Engineering Intern
6192,"Hernandez, Ferguson and Lopez",Civil Engineering,Surveying,Enugu,Civil Engineering Intern
6193,Martin-Dalton,Mechanical Engineering,CAD,Enugu,Mechanical Engineering Intern
6194,"Rowe, Lopez and Herrera",Petroleum Engineering,"Oil Field Operations, Drilling, Geophysics",Aba,Petroleum Engineering Intern
6195,"Stanley, Morris and Morgan",Computer Science,Java,Onitsha,Software Engineering Intern
6196,Armstrong-Fowler,Civil Engineering,AutoCAD,Ibadan,Civil Engineering Intern
6197,Dixon and Sons,Computer Science,"ML, Python",Aba,Software Engineering Intern
6198,Brown-Lane,Architecture,"AutoCAD, Urban Planning, Sustainable Architecture",Port Harcourt,Administrative Intern
6199,Smith-Jacobson,Architecture,"Sustainable Architecture, Building Design",Port Harcourt,Design Intern
6200,"Hughes, Thompson and Floyd",Architecture,"Building Design, Sustainable Architecture, Urban Planning",Ibadan,Design Intern
6201,Simpson-Howard,Electrical Engineering,"C++, Embedded Systems, Signal Processing",Onitsha,Electrical Engineering Intern
6202,"Peters, Montgomery and Fox",Computer Science,"SQL, C++, Java",Kano,Software Engineering Intern
6203,"Santana, Graham and Harrison",Mechanical Engineering,"Finite Element Analysis, CAD",Enugu,Mechanical Engineering Intern
6204,Rodriguez LLC,Petroleum Engineering,Oil Field Operations,Kaduna,Petroleum Engineering Intern
6205,Hunt-Barrett,Pharmacy,"Pharmacology, Chemistry, Drug Design",Abuja,Design Intern
6206,"Grant, Ross and Ayala",Civil Engineering,Structural Analysis,Lagos,Civil Engineering Intern
6207,"Martinez, Tanner and Sims",Pharmacy,"Clinical Pharmacy, Pharmacology, Drug Design",Abuja,Design Intern
6208,"Hamilton, Bryant and Horne",Mechanical Engineering,MATLAB,Kano,Mechanical Engineering Intern
6209,Campos PLC,Petroleum Engineering,Drilling,Lagos,Petroleum Engineering Intern
6210,Barnes Group,Medical Laboratory Science,"Microscopy, Pathology, Lab Techniques",Lagos,Administrative Intern
6211,Rios-James,Mechanical Engineering,SolidWorks,Port Harcourt,Mechanical Engineering Intern
6212,Dixon-Long,Architecture,Sustainable Architecture,Enugu,Administrative Intern
6213,Franklin-Kelly,Medical Laboratory Science,"Pathology, Lab Techniques",Aba,Administrative Intern
6214,Fox-Contreras,Nursing Science,Pharmacology,Kano,Nursing Intern
6215,Russo Group,Nursing Science,"Patient Care, Clinical Practice",Ibadan,Nursing Intern
6216,"Ramos, Soto and Foster",Mechanical Engineering,"SolidWorks, Finite Element Analysis, CAD",Enugu,Mechanical Engineering Intern
6217,Garrett-Johnson,Nursing Science,Clinical Practice,Lagos,Nursing Intern
6218,"Carlson, Lopez and Stokes",Medical Laboratory Science,"Microscopy, Pathology, Lab Techniques",Ibadan,Administrative Intern
6219,Hickman and Sons,Petroleum Engineering,"Geophysics, Drilling, Oil Field Operations",Abuja,Petroleum Engineering Intern
6220,"Colon, Parker and Harrison",Civil Engineering,AutoCAD,Aba,Civil Engineering Intern
6221,Adkins LLC,Electrical Engineering,Embedded Systems,Kano,Electrical Engineering Intern
6222,"Reilly, Edwards and Gardner",Business Administration,"Project Management, Finance",Onitsha,Finance Intern
6223,Hutchinson-Goodwin,Nursing Science,"Anatomy, Pharmacology",Benin City,Nursing Intern
6224,Pratt-Carroll,Electrical Engineering,C++,Ibadan,Electrical Engineering Intern
6225,Villarreal-Odom,Computer Science,"C++, Python, SQL",Enugu,Software Engineering Intern
6226,Mejia-Fox,Civil Engineering,"AutoCAD, Structural Analysis",Enugu,Civil Engineering Intern
6227,"Anderson, Bolton and Chapman",Pharmacy,Clinical Pharmacy,Aba,Administrative Intern
6228,Quinn LLC,Pharmacy,"Chemistry, Pharmacology",Kano,Administrative Intern
6229,Dorsey and Sons,Architecture,"Building Design, Urban Planning, AutoCAD",Onitsha,Design Intern
6230,"Armstrong, Roth and Thomas",Nursing Science,Clinical Practice,Enugu,Nursing Intern
6231,"Serrano, Haynes and Smith",Medical Laboratory Science,"Lab Techniques, Biochemistry",Enugu,Administrative Intern
6232,Meadows-Carter,Business Administration,"Human Resources, Project Management",Ibadan,HR Intern
6233,Powell Group,Business Administration,"Management, Marketing, Finance",Aba,Finance Intern
6234,Stevenson-Watson,Medical Laboratory Science,"Pathology, Microscopy, Lab Techniques",Enugu,Administrative Intern
6235,Andrade-Richards,Civil Engineering,"Construction Management, Surveying",Lagos,Civil Engineering Intern
6236,Phillips-Lamb,Mechanical Engineering,SolidWorks,Benin City,Mechanical Engineering Intern
6237,"Adams, Miller and Roberts",Pharmacy,"Pharmacology, Drug Design",Kano,Design Intern
6238,Woods-Strickland,Civil Engineering,"Structural Analysis, Construction Management, Surveying",Kaduna,Civil Engineering Intern
